Episode,Entropy
Episode-1,0.7490098894586554
Episode-100,0.7530569967503222
Episode-1029,0.7404313030818178
Episode-1030,0.7265063627866504
Episode-1032,0.7332578950111533
Episode-1033,0.7273370768629881
Episode-1034,0.7374362820201151
Episode-1035,0.7589489145362929
Episode-1040,0.762683328010342
Episode-1044,0.7675059013959893
Episode-105,0.7464708131959213
Episode-1056,0.7660520563264109
Episode-1068,0.7521346917960998
Episode-1079,0.83223049086073
Episode-108,0.7469633228568314
Episode-1080,0.7790445541136625
Episode-1084,0.7472314802885269
Episode-109,0.758478565039315
Episode-1095,0.8035848343114669
Episode-1096,0.7410038290699407
Episode-1110,0.7466564053270874
Episode-1113,0.73916710634936
Episode-1114,0.7471411334797579
Episode-112,0.7351210662587382
Episode-113,0.7523996802754426
Episode-115,0.7369327921364988
Episode-116,0.7657999249989577
Episode-1160,0.7592095729569521
Episode-1161,0.7569176444869631
Episode-1167,0.740576568548651
Episode-1168,0.7371342546909853
Episode-1170,0.7595032299168741
Episode-1174,0.7278665520476403
Episode-1180,0.7689861623814563
Episode-1183,0.7485737898614778
Episode-1185,0.7592897224206324
Episode-1191,0.7622954989274567
Episode-1196,0.7546313031497196
Episode-120,0.7449177683128344
Episode-1203,0.7605608352549531
Episode-1207,0.7603358442558401
Episode-1219,0.7233852754910531
Episode-1229,0.7456167981167419
Episode-123,0.7573812714466795
Episode-1232,0.7551366808882143
Episode-1242,0.7527459056669852
Episode-1243,0.7396319282800263
Episode-1249,0.7582221617982177
Episode-125,0.7511662191274266
Episode-1250,0.751307449100113
Episode-1253,0.7458407809156972
Episode-1262,0.7653504882672115
Episode-1269,0.7569001844883774
Episode-1270,0.7569001844883774
Episode-1274,0.7518589245558626
Episode-1277,0.755864067384412
Episode-1278,0.7684898892607446
Episode-1281,0.7526646753494174
Episode-1282,0.7544948672777788
Episode-1283,0.729102843482713
Episode-1284,0.7702616209243673
Episode-1288,0.8146273313759538
Episode-130,0.7541634222867761
Episode-1300,0.7769426467497157
Episode-131,0.7539231432449454
Episode-1312,0.7519781241823698
Episode-1317,0.7385309565872588
Episode-1318,0.7521027043059825
Episode-1325,0.770821126869173
Episode-1328,0.7337211175297405
Episode-1329,0.7465340624396204
Episode-1330,0.7583393595909216
Episode-1332,0.7450916301991191
Episode-1338,0.7618844615131398
Episode-1339,0.7256191905840551
Episode-1341,0.7465773483828818
Episode-1345,0.7561145534133689
Episode-1347,0.7403647930562796
Episode-1349,0.7661146983518454
Episode-1351,0.7595497406646342
Episode-1352,0.7542208120556047
Episode-1353,0.7490303527431519
Episode-1354,0.7464867352258094
Episode-1355,0.7451013161190173
Episode-1356,0.7537060103000426
Episode-1358,0.7676818944147739
Episode-1360,0.75320929849727
Episode-1363,0.751697108693956
Episode-1364,0.7594611898685814
Episode-1365,0.7456903554086947
Episode-1367,0.7529947957616698
Episode-1368,0.7662955527215467
Episode-137,0.7404183700472718
Episode-1372,0.7612003976646851
Episode-1375,0.75451276038051
