Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
DM_20250313-141135_Interview,-0.1636,-0.1188,2931,-0.2112,-0.1589,2656,-0.1866,0.8294640794811563,-0.1379,5587
DM_20250313-153233_Interview,-0.0702,-0.0448,1545,-0.1734,-0.1234,1654,-0.1263,0.6589562204898183,-0.0854,3199
DM_20250313-160541_Interview,0.0715,0.046,2218,0.0637,0.0431,2598,0.0672,0.9573471411180036,0.0445,4816
DM_20250313-174338_Interview,-0.1308,-0.0816,1057,-0.1286,-0.0893,1350,-0.1295,0.6886500722491823,-0.086,2407
DM_20250313-181027_Interview,-0.0539,-0.0331,960,-0.1591,-0.109,1238,-0.116,0.749360995550288,-0.0758,2198
DM_20250313-183641_Interview,-0.061,-0.0389,1182,-0.2012,-0.1467,1400,-0.1417,0.7601653750660281,-0.0973,2582
DM_20250313-190204_Interview,-0.0661,-0.0416,1112,-0.1503,-0.1032,1082,-0.1094,0.6891584951950263,-0.072,2194
DM_20250313-192932_Interview,-0.0681,-0.044,1209,-0.1423,-0.1008,1484,-0.1107,0.725495977704275,-0.0753,2693
DM_20250313-195826_Interview,-0.0839,-0.0532,1371,-0.146,-0.104,1415,-0.1173,0.7018829682406541,-0.079,2786
DM_20250313-202652_Interview,-0.0584,-0.0362,1026,-0.1654,-0.1154,1261,-0.1206,0.7561432733363941,-0.0799,2287
DM_20250313-205138_Interview,-0.0886,-0.0543,1007,-0.1175,-0.0809,1239,-0.1054,0.6676317395728049,-0.069,2246
DM_20250313-211714_Interview,-0.0709,-0.0455,1257,-0.1723,-0.1224,1430,-0.1274,0.6541252709957666,-0.0864,2687
DM_20250313-214541_Interview,-0.0925,-0.0571,1128,-0.1433,-0.1029,1372,-0.1223,0.6724995417790978,-0.0822,2500
DM_20250313-221216_Interview,-0.0444,-0.0284,1104,-0.1346,-0.0963,1282,-0.0954,0.7283210929729104,-0.0649,2386
DM_20250313-224032_Interview,-0.0802,-0.0484,1048,-0.1663,-0.1169,1271,-0.1306,0.6824316196180581,-0.086,2319
DM_20250313-230546_Interview,-0.0395,-0.0246,1035,-0.148,-0.1046,1382,-0.1049,0.6770019342433117,-0.0703,2417
DM_20250313-233249_Interview,-0.0508,-0.0338,1047,-0.1495,-0.108,1216,-0.1059,0.6669903379573513,-0.0736,2263
DM_20250313-235756_Interview,-0.0391,-0.0234,764,-0.116,-0.0823,1210,-0.0893,0.6744712819727549,-0.0595,1974
DM_20250314-002211_Interview,-0.0241,-0.0149,55,-0.1821,-0.1223,146,-0.1414,0.5682209179236911,-0.0929,201
DM_20250314-002504_Interview,-0.097,-0.0591,801,-0.1192,-0.0824,1178,-0.1109,0.6763477459970078,-0.0729,1979
DM_20250314-004854_Interview,-0.0856,-0.0547,1100,-0.1655,-0.1172,1453,-0.1331,0.6853256174387129,-0.0903,2553
DM_20250314-011648_Interview,-0.0539,-0.029,67,-0.1523,-0.1094,156,-0.1284,0.5085942397961415,-0.0852,223
DM_20250314-011956_Interview,-0.0204,-0.013,1188,-0.1424,-0.1031,1515,-0.0925,0.724677546529265,-0.0635,2703
DM_20250314-014924_Interview,-0.0627,-0.0392,1198,-0.1379,-0.0967,1409,-0.1055,0.692262603389749,-0.0703,2607
DM_20250314-021754_Interview,-0.0935,-0.0594,1301,-0.1237,-0.0869,1458,-0.1102,0.661929350194212,-0.0739,2759
DM_20250314-024748_Interview,-0.1367,-0.0966,2654,-0.1672,-0.1236,2783,-0.1527,0.7337492455605201,-0.1104,5437
DM_20250314-040713_Interview,-0.0551,-0.0347,1315,-0.1505,-0.1051,1600,-0.1099,0.5927726427474728,-0.0733,2915
DM_20250314-044002_Interview,-0.0375,-0.024,1364,-0.1204,-0.0868,1671,-0.0856,0.6016878761253625,-0.0586,3035
DM_20250314-051050_Interview,-0.1183,-0.0728,946,-0.1155,-0.0809,1137,-0.1167,0.6113691175869297,-0.0772,2083
DM_20250314-053644_Interview,-0.1155,-0.0725,1394,-0.152,-0.1059,1603,-0.1359,0.7043945591009815,-0.0904,2997
DM_20250314-060900_Interview,-0.0594,-0.0387,1122,-0.157,-0.1116,1347,-0.1147,0.7150126987137301,-0.0785,2469
DM_20250314-063629_Interview,-0.076,-0.0486,1326,-0.1442,-0.1019,1501,-0.1139,0.6792417787983791,-0.0769,2827
DM_20250314-070638_Interview,-0.0704,-0.0443,862,-0.1735,-0.1231,1150,-0.1323,0.6962873547096001,-0.0894,2012
DM_20250314-073008_Interview,-0.0822,-0.0535,1240,-0.1484,-0.1096,1656,-0.122,0.6552011317270434,-0.0856,2896
DM_20250314-080238_Interview,-0.0819,-0.0527,1129,-0.0972,-0.0684,1320,-0.0905,0.717655735089635,-0.0611,2449
DM_20250314-082733_Interview,-0.1003,-0.0629,1009,-0.1582,-0.1096,1225,-0.1334,0.6768942237783105,-0.0885,2234
DM_20250314-085203_Interview,-0.0794,-0.0489,1017,-0.1653,-0.1171,1316,-0.1308,0.7461832802767233,-0.0874,2333
DM_20250314-091639_Interview,-0.1508,-0.0979,3155,-0.1763,-0.1196,3456,-0.1644,0.7986654019300559,-0.1092,6611
DM_20250314-104714_Interview,-0.1177,-0.0698,789,-0.1184,-0.0836,1057,-0.1181,0.6564112942528602,-0.0777,1846
DM_20250314-110933_Interview,-0.102,-0.0631,1254,-0.125,-0.0862,1192,-0.1138,0.6521188753625884,-0.0743,2446
DM_20250314-113658_Interview,-0.0155,-0.0099,1268,-0.1405,-0.1009,1552,-0.0878,0.7019081912375578,-0.06,2820
DM_20250314-120656_Interview,-0.0232,-0.0146,1108,-0.1334,-0.0942,1312,-0.0861,0.6780460947727979,-0.0577,2420
